,Name,BSE Code,NSE Code,Industry,Current Price,Price to Earning,Market Capitalization,Dividend yield,Net Profit latest quarter,YOY Quarterly profit growth,Sales latest quarter,YOY Quarterly sales growth,Return on capital employed,Industry PE,Debt,Price to book value,Cash from operations last year,Debt to equity,Return on equity,Piotroski score,Credit rating,Industry PBV,Equity capital,Total Assets,is in nse
331,Oswal Green Tech,539290.0,BINDALAGRO,Finance & Investments,20.0,6.2,513.62,0.0,4.27,-68.16,4.46,20.22,5.34,16.19,6.72,0.21,-42.88,0.0,3.72,5.0,,0.73,256.81,2468.1,True
335,Paisalo Digital,532900.0,PAISALO,Finance & Investments,802.85,59.29,3395.43,0.12,22.22,9.57,86.42,-12.25,12.07,16.19,1279.92,4.21,35.17,1.59,7.57,3.0,,0.73,42.29,2365.37,True
336,Palash Securi.,540648.0,PALASHSECU,Finance & Investments,43.8,,43.81,0.0,-2.29,-37.13,17.2,28.84,-0.41,16.19,15.25,0.21,-6.4,0.07,-0.93,1.0,,0.73,10.0,235.36,True
345,Pilani Invest.,539883.0,PILANIINVS,Finance & Investments,1909.45,18.84,2114.19,0.94,35.24,29.94,49.11,50.09,2.11,16.19,420.0,0.41,-1387.74,0.08,3.42,5.0,,0.73,11.07,5645.58,True
348,PNB Gilts,532366.0,PNBGILTS,Finance & Investments,53.8,1.71,968.45,13.01,167.07,207.68,322.99,49.07,7.62,16.19,13743.36,0.75,-3897.87,10.65,25.59,6.0,,0.73,180.01,16462.28,True
349,PNB Housing,540173.0,PNBHOUSING,Finance - Housing,438.8,13.87,7380.83,0.0,223.27,-5.03,1872.77,-9.51,8.65,19.74,65405.04,0.87,8911.14,7.73,8.88,4.0,,1.41,168.19,77034.57,True
351,Power Fin.Corpn.,532810.0,PFC,Finance - Term-Lending Institutions,129.6,3.68,34215.46,7.33,2893.7,11.41,18434.88,16.14,8.91,5.76,646285.52,0.57,-42689.9,10.81,14.76,2.0,,0.66,2640.08,756654.67,True
354,Prime Securities,500337.0,PRIMESECU,Finance & Investments,40.65,37.04,107.78,0.0,0.96,318.18,6.3,-54.97,26.74,16.19,0.44,2.38,7.25,0.01,20.29,4.0,,0.73,13.3,61.67,True
356,PTC India Fin,533344.0,PFS,Finance & Investments,21.75,16.19,1396.97,2.07,20.85,-51.58,269.31,-18.81,9.19,16.19,9167.08,0.65,3228.32,4.26,5.26,6.0,,0.73,642.28,11574.96,True
365,Rane Holdings,505800.0,RANEHOLDIN,Finance & Investments,623.95,,891.0,1.28,24.73,649.06,663.62,23.67,6.64,16.19,500.03,1.17,179.81,0.66,-3.03,3.0,,0.73,14.28,2123.74,True
367,REC Ltd,532955.0,RECLTD,Finance - Term-Lending Institutions,140.0,4.08,27648.85,7.86,2257.96,35.38,9084.57,17.79,8.67,5.76,313519.39,0.66,-32711.91,7.45,14.22,4.0,,0.66,1974.92,379705.67,True
370,Reliance Capital,500111.0,RELCAPITAL,Finance & Investments,10.75,,271.66,0.0,-4018.0,-2876.3,4881.0,6.32,7.96,16.19,26869.0,,13027.0,,,4.0,,0.73,253.0,67404.0,True
371,Reliance Home,540709.0,RHFL,Finance - Housing,2.5,,121.26,0.0,-339.55,-361.85,173.96,-59.87,4.78,19.74,13294.76,0.17,4713.05,18.18,-22.65,4.0,,1.41,485.06,15449.85,True
372,Religare Enterp.,532915.0,RELIGARE,Finance & Investments,88.65,,2297.68,0.0,-113.45,51.25,612.58,7.05,-0.08,16.19,5312.72,15.54,2432.8,35.93,-186.28,5.0,,0.73,258.93,8838.87,True
373,Repco Home Fin,535322.0,REPCOHOME,Finance - Housing,329.45,7.08,2061.08,0.76,82.14,17.56,354.63,4.3,10.38,19.74,10351.66,1.05,-461.41,5.26,17.6,5.0,,1.41,62.56,12431.13,True
385,Sastasundar Ven.,533259.0,SASTASUNDR,Finance & Investments,128.5,,408.76,0.0,-1.99,77.24,137.11,32.64,-31.96,16.19,4.0,1.97,-90.34,0.02,-22.75,4.0,,0.73,31.81,290.07,True
386,Satin Creditcare,539404.0,SATIN,Finance & Investments,102.95,,535.73,0.0,-81.97,-271.92,293.42,-15.44,11.96,16.19,5460.88,0.49,-17.03,3.64,12.07,3.0,,0.73,56.67,7254.19,True
389,SBI Cards,543066.0,SBICARD,Finance & Investments,1108.15,116.76,104224.33,0.09,209.66,-51.77,2403.2,-3.06,15.21,16.19,15696.63,17.73,-4066.87,2.67,27.89,3.0,,0.73,939.67,24312.84,True
395,Share India Sec.,540725.0,SHAREINDIA,Finance & Investments,230.95,11.92,736.88,0.65,17.6,73.91,110.95,88.27,23.5,16.19,133.16,3.29,67.63,0.6,22.78,7.0,,0.73,31.91,762.81,True
401,Shri.City Union.,532498.0,SHRIRAMCIT,Finance & Investments,1563.95,11.26,10322.86,0.64,300.03,-4.03,1567.51,-0.16,11.75,16.19,24177.16,1.31,445.88,3.06,14.61,4.0,,0.73,66.0,32855.74,True
403,Shriram Trans.,511218.0,SRTRANSFIN,Finance & Investments,1350.55,17.38,34177.22,0.44,733.97,-16.8,4438.37,5.2,10.84,16.19,96241.1,1.86,-3131.44,4.71,14.73,4.0,,0.73,253.06,118063.56,True
406,SIL Investments,521194.0,SILINV,Finance & Investments,201.55,5.72,213.64,1.24,14.16,742.86,14.21,333.23,4.56,16.19,0.0,0.22,23.61,0.0,4.0,8.0,,0.73,10.61,1004.43,True
410,Smartlink Hold.,532419.0,SMARTLINK,Finance & Investments,88.85,,118.17,0.0,1.8,260.0,4.36,-8.02,-4.0,16.19,2.84,0.62,66.32,0.01,-4.22,6.0,,0.73,2.66,199.43,True
411,SMC Global Sec.,543263.0,SMCGLOBAL,Finance & Investments,95.05,14.72,1075.34,0.0,21.13,214.43,235.93,17.4,,16.19,,,,,,1.0,,0.73,22.63,,True
415,Spandana Sphoort,542759.0,SPANDANA,Finance & Investments,601.35,23.46,3867.61,0.0,-30.36,-124.07,327.07,-4.8,18.28,16.19,3305.81,1.42,-53.67,1.21,14.98,2.0,,0.73,64.32,6512.55,True
417,SREI Infra. Fin.,523756.0,SREINFRA,Finance & Investments,6.85,,344.62,0.0,-3812.58,-6451.12,490.36,-66.19,10.63,16.19,31468.54,0.08,-3.69,7.71,2.36,5.0,,0.73,503.09,36888.1,True
421,Stampade Cap-DVR,570005.0,SCAPDVR,Finance & Investments,1.75,,10.02,0.0,,,,,-9.62,16.19,107.68,0.14,8.63,1.52,-44.91,5.0,,0.73,28.63,207.59,True
426,STEL Holdings,533316.0,STEL,Finance & Investments,82.5,,152.3,0.0,-0.11,-145.83,0.09,-85.71,2.78,16.19,0.0,0.24,16.34,0.0,2.72,9.0,,0.73,18.46,631.03,True
437,Summit Securitie,533306.0,SUMMITSEC,Finance & Investments,569.95,12.6,621.25,0.0,6.49,32350.0,8.76,553.73,2.36,16.19,0.0,0.17,79.66,0.0,2.41,7.0,,0.73,10.9,3956.76,True
438,Sundaram Fin.Hol,,SUNDARMHLD,Finance & Investments,88.5,20.61,1337.27,1.41,27.65,52.93,13.24,-29.91,1.66,16.19,2.02,0.76,62.09,0.0,3.7,5.0,,0.73,75.55,1837.79,True
439,Sundaram Finance,590071.0,SUNDARMFIN,Finance & Investments,2618.2,26.68,29088.2,0.5,342.25,43.36,1392.0,4.7,9.27,16.19,37494.19,4.04,8.78,5.21,12.05,3.0,,0.73,110.16,46769.0,True
447,Tata Inv.Corpn.,501301.0,TATAINVEST,Finance & Investments,1146.7,50.42,5801.76,1.57,27.53,73.69,27.0,9.8,1.26,16.19,0.0,0.55,117.27,0.0,1.13,6.0,,0.73,50.6,10962.93,True
449,TCI Finance,501242.0,TCIFINANCE,Finance & Investments,5.9,,7.59,0.0,0.43,458.33,1.77,56.64,-160.03,16.19,31.53,,-22.87,,,2.0,,0.73,12.87,73.06,True
450,The Invest.Trust,530023.0,THEINVEST,Finance & Investments,95.3,106.51,490.99,0.0,5.9,46.04,73.58,-28.56,5.37,16.19,323.13,0.84,315.49,0.55,-1.26,4.0,,0.73,51.52,1083.5,True
453,Times Guaranty,511559.0,TIMESGTY,Finance & Investments,25.95,11.55,23.33,0.0,0.65,54.76,0.86,28.36,5.01,16.19,0.0,0.65,-10.56,0.0,3.89,4.0,,0.73,8.99,36.04,True
455,Tour. Fin. Corp.,526650.0,TFCILTD,Finance - Term-Lending Institutions,57.55,6.22,464.54,0.0,24.06,-12.0,71.07,8.69,10.23,5.76,1342.62,0.61,208.4,1.77,10.87,5.0,,0.66,80.72,2146.59,True
456,Transwar.Fin.,532812.0,TFL,Finance & Investments,2.35,,5.75,0.0,-0.54,55.37,2.14,51.77,-13.55,16.19,24.59,0.32,0.74,1.39,-28.71,3.0,,0.73,24.46,66.56,True
465,Ujjivan Fin.Ser.,539874.0,UJJIVAN,Finance & Investments,244.5,,2974.48,0.33,-408.81,-667.79,771.74,3.38,9.63,16.19,14969.96,1.0,-2464.17,5.01,11.93,5.0,,0.73,121.65,18700.14,True
471,UTI AMC,543238.0,UTIAMC,Finance & Investments,581.55,23.84,7373.31,1.2,80.73,-7.29,260.32,18.63,15.42,16.19,0.0,,171.13,0.0,12.37,3.0,,0.73,126.79,3056.53,True
476,Vardhman Hold.,500439.0,VHL,Finance & Investments,1976.4,6.96,630.47,0.0,44.01,-26.64,-2.69,-129.5,7.82,16.19,0.0,0.29,-94.57,0.0,7.75,5.0,,0.73,3.19,2157.51,True
484,VLS Finance,511333.0,VLSFINANCE,Finance & Investments,93.3,1.81,360.72,1.61,73.88,541.87,66.32,1033.68,-0.31,16.19,0.2,0.18,-103.79,0.0,2.58,6.0,,0.73,38.78,2492.0,True
489,Wealth First Por,,WEALTH,Finance & Investments,138.85,114.68,147.94,0.43,4.93,257.25,6.61,73.04,6.32,16.19,2.64,4.29,-6.9,0.08,3.77,4.0,,0.73,6.39,39.93,True
490,Welspun Investme,533252.0,WELINV,Finance & Investments,358.45,17.9,130.83,0.0,0.01,133.33,0.06,-85.71,7.85,16.19,0.0,1.25,-0.26,0.0,7.91,5.0,,0.73,3.65,105.0,True
492,Williamson Magor,519224.0,WILLAMAGOR,Finance & Investments,21.1,,23.13,0.0,-1.25,88.98,1.63,-89.7,-8.08,16.19,677.5,,-6.95,,,2.0,,0.73,10.96,761.05,True
