,Name,BSE Code,NSE Code,Industry,Current Price,Price to Earning,Market Capitalization,Dividend yield,Net Profit latest quarter,YOY Quarterly profit growth,Sales latest quarter,YOY Quarterly sales growth,Return on capital employed,Industry PE,Debt,Price to book value,Cash from operations last year,Debt to equity,Return on equity,Piotroski score,Credit rating,Industry PBV,Equity capital,Total Assets,is in nse
26,Narayana Hrudaya,539551.0,NH,Healthcare,430.75,,8802.84,0.23,40.81,30.05,750.36,-4.44,13.56,37.47,789.31,8.72,443.35,0.78,11.67,6.0,,3.37,204.36,2726.69,True
27,Opto Circuits,532391.0,OPTOCIRCUI,Healthcare,4.25,,127.77,0.0,-7.83,-210.7,34.1,-36.83,1.66,37.47,1040.82,,-182.42,,-1.03,2.0,,3.37,300.63,978.95,True
28,Poly Medicure,531768.0,POLYMED,Healthcare,714.8,57.26,6853.54,0.28,35.31,41.13,203.51,12.79,24.68,37.47,143.07,13.8,130.51,0.29,23.47,5.0,,3.37,44.12,808.32,True
31,Shalby,540797.0,SHALBY,Healthcare,107.85,75.2,1164.89,0.46,16.82,106.38,131.8,9.11,7.43,37.47,39.78,1.44,55.37,0.05,3.49,7.0,,3.37,108.01,956.45,True
35,Thyrocare Tech.,539871.0,THYROCARE,Healthcare,911.6,65.61,4820.03,1.1,32.39,17.82,138.27,30.7,35.27,37.47,12.82,11.44,167.63,0.03,22.33,7.0,,3.37,52.87,523.81,True
0,Advani Hotels.,523269.0,ADVANIHOTR,Hotels,52.1,,240.8,3.65,1.61,-74.12,12.24,-44.31,27.37,67.21,0.56,6.22,13.91,0.01,22.11,8.0,,1.27,9.24,56.24,True
1,Apollo Sindoori,,APOLSINHOT,Hotels,553.75,16.09,144.0,0.36,2.4,-15.19,44.65,-10.03,23.3,67.21,25.79,1.75,22.42,0.31,20.85,4.0,,1.27,1.3,148.87,True
4,Asian Hotels (E),533227.0,AHLEAST,Hotels,165.65,,190.96,0.0,-6.2,-479.44,19.08,-60.77,2.22,67.21,105.13,0.26,71.49,0.14,-4.39,5.0,,1.27,11.53,945.68,True
5,Asian Hotels (N),500023.0,ASIANHOTNR,Hotels,71.8,,139.65,0.0,-11.23,-26.61,21.61,-71.25,2.36,67.21,1199.76,0.25,109.65,2.12,-9.86,3.0,,1.27,19.45,2093.88,True
6,Asian Hotels (W),533221.0,AHLWEST,Hotels,239.3,,278.81,0.0,-37.37,-318.79,33.89,-73.4,11.77,67.21,959.92,7.21,152.17,24.82,0.85,6.0,,1.27,11.65,1111.5,True
9,Blu.Coast Hotel.,531495.0,BLUECOAST,Hotels,5.75,,7.33,0.0,-1.33,-3.1,0.0,,41.21,67.21,41.5,,-24.33,,,4.0,,1.27,12.75,25.67,True
10,Chalet Hotels,542399.0,CHALET,Hotels,169.45,,3474.13,0.0,-31.02,-188.14,85.08,-69.41,7.77,67.21,1643.71,2.36,252.44,1.12,6.48,7.0,,1.27,205.02,3921.97,True
13,Country Club Hos,526550.0,CCHHL,Hotels,4.95,,80.92,0.0,-11.31,52.48,15.64,-55.39,-3.31,67.21,177.2,0.21,-325.22,0.45,-13.46,1.0,,1.27,32.69,926.23,True
15,EIH,500840.0,EIHOTEL,Hotels,97.05,,6069.16,0.0,-55.73,-158.63,179.16,-64.84,6.19,67.21,773.94,2.12,317.04,0.27,4.97,5.0,,1.27,125.07,4200.25,True
16,EIH Assoc.Hotels,523127.0,EIHAHOTELS,Hotels,279.1,,850.42,0.0,0.14,-99.31,36.82,-57.1,13.69,67.21,2.56,2.66,57.02,0.01,12.13,5.0,,1.27,30.47,384.94,True
20,HLV,500193.0,HLVLTD,Hotels,5.9,,372.03,0.0,-11.2,-108.7,6.95,-84.09,7.84,67.21,24.97,0.86,138.71,0.06,47.08,7.0,,1.27,126.11,610.21,True
21,Hotel Rugby,526683.0,HOTELRUGBY,Hotels,1.2,,1.72,0.0,0.0,,0.0,,-1.84,67.21,0.0,0.29,-0.19,0.0,-1.86,3.0,,1.27,14.32,6.08,True
23,I T D C,532189.0,ITDC,Hotels,323.35,,2773.35,0.0,-10.45,-203.88,44.22,-57.94,9.98,67.21,0.96,9.62,8.97,0.0,5.77,7.0,,1.27,85.77,577.96,True
24,Indian Hotels Co,500850.0,INDHOTEL,Hotels,120.75,,14360.3,0.41,-118.88,-182.25,559.86,-59.22,7.9,67.21,4572.13,3.89,823.47,1.24,6.56,6.0,,1.27,118.93,11461.75,True
26,Kamat Hotels,526668.0,KAMATHOTEL,Hotels,33.85,,79.82,0.0,-9.41,-230.51,18.93,-69.61,13.78,67.21,187.2,,74.71,,,6.0,,1.27,24.17,466.8,True
28,Lemon Tree Hotel,541233.0,LEMONTREE,Hotels,40.55,,3212.56,0.0,-31.25,-356.15,68.38,-65.74,6.4,67.21,2017.42,4.32,148.33,2.71,0.2,6.0,,1.27,790.34,3871.98,True
31,Mahindra Holiday,533088.0,MHRIL,Hotels,231.45,,3091.1,0.0,0.17,-96.56,489.15,-16.85,10.4,67.21,2482.99,55.59,560.61,44.65,-80.39,5.0,,1.27,132.92,8838.05,True
32,Oriental Hotels,500314.0,ORIENTHOT,Hotels,23.25,,415.24,0.86,-10.74,-246.92,43.02,-48.88,2.42,67.21,246.67,0.88,44.86,0.52,-1.46,6.0,,1.27,17.86,804.6,True
38,Royal Orch.Hotel,532699.0,ROHLTD,Hotels,67.1,,184.02,0.0,-2.83,-165.36,29.92,-51.21,8.91,67.21,144.17,1.21,29.21,0.94,2.84,3.0,,1.27,27.43,421.69,True
43,Speciality Rest.,534425.0,SPECIALITY,Hotels,45.3,,212.73,0.0,-3.64,-165.82,56.81,-46.55,1.78,67.21,0.0,1.61,48.3,0.0,-8.65,5.0,,1.27,46.96,350.86,True
45,TajGVK Hotels,532390.0,TAJGVK,Hotels,124.0,,777.5,0.0,0.96,-91.38,36.32,-60.14,9.62,67.21,176.59,2.02,74.61,0.46,5.88,6.0,,1.27,12.54,727.6,True
46,TGB Banquets,532845.0,TGBHOTELS,Hotels,4.4,,12.89,0.0,-1.23,-341.18,5.64,-39.81,1.35,67.21,11.47,0.13,-3.29,0.12,0.72,5.0,,1.27,29.29,155.49,True
47,The Byke Hospi.,531373.0,BYKE,Hotels,20.35,,81.6,0.0,-1.97,-252.71,22.35,-45.11,4.13,67.21,56.86,0.43,33.41,0.3,2.23,5.0,,1.27,40.1,262.89,True
50,Viceroy Hotels,523796.0,VICEROY,Hotels,2.65,,11.24,0.0,-3.14,-28.16,12.52,-56.27,-9.33,67.21,549.68,,-11.64,,,4.0,,1.27,42.41,422.88,True
0,Adani Ports,532921.0,ADANIPORTS,Miscellaneous,720.5,36.23,146387.71,0.44,1561.47,15.48,3746.49,12.3,11.37,36.23,34366.94,5.27,7401.81,1.24,15.18,5.0,,5.27,406.35,71464.36,True
5,Ashoka Buildcon,533271.0,ASHOKA,Engineering - Turnkey Services,110.7,11.58,3107.61,0.0,88.45,172.91,1305.49,1.96,20.84,11.87,5746.28,6.76,1069.07,12.5,45.51,8.0,,1.07,140.36,13589.1,True
7,Atlanta,532759.0,ATLANTA,Engineering - Turnkey Services,8.2,,66.83,0.0,-18.72,25.21,10.87,-48.63,0.88,11.87,932.11,,151.33,,,5.0,,1.07,16.3,724.44,True
9,BGR Energy Sys.,532930.0,BGRENERGY,Engineering - Turnkey Services,46.25,,333.74,0.0,-78.22,-388.42,357.6,-69.46,4.66,11.87,2150.1,0.35,369.63,2.26,-1.22,4.0,,1.07,72.16,6000.56,True
10,Dilip Buildcon,540047.0,DBL,Construction,672.6,35.26,9199.13,0.15,107.17,84.41,2746.19,7.09,14.57,23.65,8803.54,2.82,44.01,2.7,10.64,6.0,,1.13,136.77,17209.02,True
11,Engineers India,532178.0,ENGINERSIN,Engineering - Turnkey Services,87.1,14.24,4895.39,5.91,88.07,-21.24,845.49,-5.97,28.78,11.87,3.57,2.01,375.61,0.0,17.78,6.0,,1.07,315.96,4990.34,True
13,Gammon Infra.,532959.0,GAMMNINFRA,Engineering - Turnkey Services,0.8,,75.35,0.0,-55.78,-8.86,69.67,-0.23,6.28,11.87,460.71,0.25,362.54,1.51,-345.91,5.0,,1.07,189.18,3829.54,True
14,GE Power,532309.0,GEPIL,Engineering - Turnkey Services,287.75,21.53,1934.54,0.7,35.09,2.6,1093.0,42.83,21.75,11.87,346.82,2.1,-563.39,0.38,7.61,4.0,,1.07,67.23,3706.85,True
16,GMR Infra.,532754.0,GMRINFRA,Engineering - Turnkey Services,27.6,,16659.21,0.0,-1120.51,-194.02,1481.03,-32.57,6.56,11.87,26001.53,,1375.85,,,6.0,,1.07,603.59,47336.73,True
18,IL&FS Engg.,532907.0,IL&FSENGG,Construction,3.35,,43.93,0.0,-13.17,3.16,76.46,-20.42,3.18,23.65,655.3,,216.17,,,5.0,,1.13,131.12,2806.75,True
19,IL&FS Transport,533177.0,IL&FSTRANS,Engineering - Turnkey Services,2.2,,72.37,0.0,-248.01,-1100.85,806.58,7.66,-18.13,11.87,15512.54,,-19.25,,,5.0,,1.07,328.96,2994.16,True
20,IRB Infra.Devl.,532947.0,IRB,Construction,112.75,29.04,3962.6,4.43,69.48,-56.5,1547.16,-11.22,13.83,23.65,15662.41,0.61,3709.23,2.39,10.48,6.0,,1.13,351.45,40141.21,True
21,Ircon Intl.,541956.0,IRCON,Construction,97.9,13.7,4603.82,4.85,102.1,-28.32,1353.03,11.73,9.81,23.65,1230.61,1.1,543.15,0.29,11.42,8.0,,1.13,94.05,12381.98,True
22,J Kumar Infra,532940.0,JKIL,Construction,193.1,23.46,1461.1,0.65,44.91,-19.37,816.21,2.92,13.52,23.65,527.64,0.81,258.85,0.29,10.49,6.0,,1.13,37.83,3410.44,True
23,Jaypee Infratech,533207.0,JPINFRATEC,Construction,1.75,,243.06,0.0,-472.36,-10.64,248.23,-18.37,-3.38,23.65,6129.59,,111.89,,,4.0,,1.13,1388.93,23960.9,True
24,Larsen & Toubro,500510.0,LT,Engineering - Turnkey Services,1485.65,14.72,208649.91,1.21,2466.69,4.87,35596.42,-1.78,12.64,11.87,148789.9,2.88,6693.88,2.06,14.58,3.0,,1.07,280.85,310057.38,True
25,Likhitha Infra.,543240.0,LIKHITHA,Construction,279.8,27.68,551.91,0.0,9.51,39.65,58.37,49.13,43.26,23.65,1.83,7.24,19.15,0.02,33.16,5.0,,1.13,14.63,97.82,True
26,MEP Infrast.,539126.0,MEP,Construction,17.15,19.84,314.61,0.0,89.34,195.2,282.43,-41.2,5.13,23.65,1669.01,2.94,767.43,15.6,-107.27,5.0,,1.13,183.45,5072.03,True
28,Mukand Engineers,532097.0,MUKANDENGG,Engineering - Turnkey Services,13.0,,16.34,0.0,-8.17,-16.38,4.45,-43.09,-18.01,11.87,103.14,,-5.48,,-2472.8,2.0,,1.07,12.58,141.93,True
29,Noida Tollbridg.,532481.0,NOIDATOLL,Construction,6.35,,118.24,0.0,-9.73,-34.58,3.72,-45.13,-6.99,23.65,17.8,0.36,10.5,0.05,-8.26,7.0,,1.13,186.2,460.15,True
32,Rel. Indl. Infra,523445.0,RIIL,Engineering - Turnkey Services,434.8,70.37,656.55,0.69,2.4,-2.44,12.67,-36.59,2.98,11.87,0.0,1.6,1.28,0.0,2.62,6.0,,1.07,15.1,451.42,True
33,Reliance Infra.,500390.0,RELINFRA,Engineering - Turnkey Services,32.4,,852.09,0.0,80.08,-81.65,3831.69,-3.12,11.46,11.87,10716.53,0.09,2874.82,1.17,7.41,7.0,,1.07,263.03,67321.41,True
34,Rites,541556.0,RITES,Engineering - Turnkey Services,270.25,14.98,6494.16,5.92,102.32,-30.19,449.29,-27.51,34.27,11.87,33.48,2.4,319.08,0.01,24.33,6.0,,1.07,240.3,5649.96,True
35,Shriram EPC,532945.0,SHRIRAMEPC,Engineering - Turnkey Services,4.5,,437.19,0.0,-60.51,-1487.84,124.58,-63.33,4.71,11.87,772.19,0.39,-7.01,0.69,-0.92,5.0,,1.07,971.53,2471.8,True
37,Tantia Constr.,532738.0,TANTIACONS,Construction,2.05,,5.89,0.0,329.87,100.52,53.73,-59.51,-3.31,23.65,50.8,0.02,-37.4,0.21,-29.08,4.0,,1.13,28.74,663.28,True
39,Techno Elec.Engg,542141.0,TECHNOE,Engineering - Turnkey Services,312.0,18.0,3432.0,1.92,56.65,76.81,247.56,-5.09,15.12,11.87,45.9,2.14,111.87,0.03,12.28,4.0,,1.07,22.0,2209.71,True
0,General Insuranc,540755.0,GICRE,Finance & Investments,202.0,17.97,35438.88,0.0,931.35,189.94,11780.13,17.42,-4.14,52.13,0.0,1.17,8616.98,0.0,-3.37,6.0,,7.67,877.2,139111.27,True
1,HDFC Life Insur.,540777.0,HDFCLIFE,Finance & Investments,720.8,107.61,145650.69,0.0,263.44,4.92,21242.13,81.45,20.15,52.13,600.0,18.62,7378.33,0.08,19.61,6.0,,7.67,2020.46,155517.03,True
2,ICICI Lombard,540716.0,ICICIGI,Finance & Investments,1431.2,46.16,65059.77,0.24,313.53,6.6,3193.19,10.37,28.7,52.13,485.0,8.78,3432.84,0.07,20.88,6.0,,7.67,454.53,39227.24,True
3,ICICI Pru Life,540133.0,ICICIPRULI,Finance & Investments,477.15,63.89,68516.55,0.17,304.3,0.84,28462.61,121.05,13.93,52.13,1200.0,7.69,8596.42,0.13,12.17,5.0,,7.67,1435.9,207843.88,True
4,New India Assura,540769.0,NIACL,Finance & Investments,154.4,16.67,25445.12,0.0,524.93,7.71,8592.78,2.22,2.12,52.13,0.0,1.1,-967.08,0.0,1.94,6.0,,7.67,824.0,83650.42,True
5,SBI Life Insuran,540719.0,SBILIFE,Finance & Investments,879.15,60.46,87921.13,0.0,232.85,-40.26,26717.85,67.6,21.92,52.13,0.0,8.68,19298.59,0.0,17.33,5.0,,7.67,1000.06,215395.02,True
0,Cerebra Integr.,532413.0,CEREBRAINT,Computers - Hardware,53.5,93.3,648.35,0.0,4.0,-57.76,23.73,-50.76,12.19,51.94,22.7,2.27,-10.0,0.08,8.54,5.0,,1.19,121.2,365.23,True
1,Compuage Info.,532456.0,COMPINFO,Computers - Hardware,20.45,5.64,132.88,0.98,6.12,12.71,1008.26,3.47,14.83,51.94,487.52,0.64,17.95,2.34,15.69,7.0,,1.19,13.0,1002.3,True
2,D-Link India,533146.0,DLINKINDIA,Computers - Hardware,113.0,14.84,401.2,1.33,9.82,16.08,204.38,3.7,19.66,51.94,8.73,1.63,28.39,0.04,14.05,5.0,,1.19,7.1,383.15,True
4,HCL Infosystems,500179.0,HCL-INSYS,Computers - Hardware,9.4,,309.46,0.0,-34.32,-336.69,72.03,-83.2,0.47,51.94,482.93,,62.12,,-481.15,4.0,,1.19,65.84,879.19,True
5,MRO-TEK Realty,532376.0,MRO-TEK,Computers - Hardware,29.7,,55.48,0.0,-1.81,42.17,10.64,8.02,0.27,51.94,55.54,,-15.26,,-506.28,5.0,,1.19,9.34,64.45,True
6,Panache Digilife,,PANACHE,Computers - Hardware,47.7,,57.24,0.52,0.59,-25.32,19.0,43.61,1.43,51.94,46.73,1.86,6.57,1.52,-9.54,4.0,,1.19,12.0,100.24,True
9,TVS Elec.,532513.0,TVSELECT,Computers - Hardware,173.95,,324.42,0.86,4.12,384.71,62.54,-11.77,6.05,51.94,10.99,4.52,-5.91,0.15,-281.77,3.0,,1.19,18.65,146.78,True
0,3i Infotech,532628.0,3IINFOTECH,Computers - Software - Medium / Small,6.75,15.05,1091.24,0.0,21.87,-20.36,273.31,-4.88,14.18,20.82,801.39,2.61,168.59,1.92,9.56,6.0,,1.25,1616.65,1551.78,True
1,63 Moons Tech.,526881.0,63MOONS,Computers - Software - Medium / Small,80.15,,369.32,2.5,0.0,100.0,42.06,4.6,-1.49,20.82,0.0,0.12,-64.31,0.0,-1.71,3.0,,1.25,9.22,3411.71,True
5,Accelya Solution,532268.0,ACCELYA,Computers - Software - Medium / Small,897.35,33.34,1339.74,3.9,10.91,-59.62,71.06,-37.45,51.08,20.82,43.39,5.16,130.92,0.17,39.16,5.0,,1.25,14.93,370.57,True
8,Adroit Info.,532172.0,ADROITINFO,Computers - Software - Medium / Small,9.1,8.57,16.62,0.0,0.59,227.78,1.94,-25.67,1.92,20.82,0.23,2.32,0.19,0.03,1.31,5.0,,1.25,18.27,17.57,True
10,Airan,,AIRAN,Computers - Software - Medium / Small,18.2,43.01,227.54,0.0,2.29,63.57,18.87,21.82,10.36,20.82,1.03,2.8,-0.99,0.01,8.64,4.0,,1.25,25.0,97.19,True
12,Alankit,531082.0,ALANKIT,Computers - Software - Medium / Small,15.95,17.91,228.02,1.25,3.65,-20.13,32.28,-1.94,24.99,20.82,14.22,2.51,-9.45,0.16,15.41,5.0,,1.25,14.3,175.69,True
13,Allied Digital,532875.0,ADSL,Computers - Software - Medium / Small,41.1,11.35,206.34,1.22,6.96,133.56,90.92,8.14,6.18,20.82,61.12,0.45,35.26,0.13,4.34,8.0,,1.25,25.1,633.01,True
14,Allsec Tech.,532633.0,ALLSEC,Computers - Software - Medium / Small,345.45,16.34,526.47,0.0,8.87,3.74,71.69,-0.88,24.52,20.82,18.31,2.17,62.09,0.08,19.45,7.0,,1.25,15.24,293.93,True
16,Apollo Micro Sys,540879.0,APOLLO,Computers - Software - Medium / Small,113.95,27.67,236.6,0.44,2.54,-59.94,35.29,-50.82,10.49,20.82,109.42,0.79,46.91,0.37,4.85,6.0,,1.25,20.76,512.1,True
20,Aurionpro Sol.,532668.0,AURIONPRO,Computers - Software - Medium / Small,80.65,6.98,183.88,0.0,8.62,50.17,102.03,-10.96,8.86,20.82,117.42,0.33,21.93,0.21,7.07,4.0,,1.25,22.8,955.89,True
21,AXISCADES Tech.,532395.0,AXISCADES,Computers - Software - Medium / Small,46.7,7.64,176.34,0.0,5.49,-31.63,125.47,-25.44,14.81,20.82,132.49,0.59,64.89,0.44,9.93,7.0,,1.25,18.9,790.99,True
24,Bartronics India,532694.0,BARTRONICS,Computers - Software - Medium / Small,2.45,,8.34,0.0,-12.98,3.21,15.33,16.76,0.55,20.82,344.32,0.07,19.9,2.85,-33.27,6.0,,1.25,34.05,1590.13,True
26,Birlasoft Ltd,532400.0,BSOFT,Computers - Software - Medium / Small,237.15,22.6,6575.84,0.84,96.39,32.62,880.78,5.7,18.15,20.82,135.77,3.28,312.4,0.07,12.13,5.0,,1.25,55.42,2767.93,True
27,BLS Internat.,540073.0,BLS,Computers - Software - Medium / Small,102.95,29.47,1054.72,0.97,13.96,-33.68,150.44,-26.38,20.65,20.82,0.0,2.46,115.86,0.0,19.16,7.0,,1.25,10.25,474.48,True
31,Brightcom Group,532368.0,BCG,Computers - Software - Medium / Small,7.9,0.89,401.04,0.63,138.6,-3.64,878.55,2.21,21.87,20.82,36.02,0.13,89.06,0.01,15.72,6.0,,1.25,101.53,3431.8,True
33,California Soft.,532386.0,CALSOFT,Computers - Software - Medium / Small,9.8,,15.15,0.0,0.14,40.0,0.4,33.33,1.21,20.82,1.31,2.17,-0.58,0.19,0.91,3.0,,1.25,12.37,9.06,True
34,Cambridge Tech.,532801.0,CTE,Computers - Software - Medium / Small,32.35,,63.5,0.0,-11.99,-1036.72,24.41,-31.93,9.6,20.82,18.27,0.79,21.47,0.23,7.26,5.0,,1.25,19.63,115.84,True
40,Cigniti Tech.,534758.0,CIGNITITEC,Computers - Software - Medium / Small,347.1,8.85,972.57,0.0,26.35,-6.29,223.9,3.3,45.29,20.82,100.61,3.04,86.6,0.31,58.18,3.0,,1.25,27.9,522.01,True
42,Coforge,532541.0,COFORGE,Computers - Software - Medium / Small,2601.3,34.52,15760.62,1.19,122.0,-1.05,1190.6,10.92,26.9,20.82,1.0,7.28,296.9,0.0,19.77,4.0,,1.25,60.6,3084.0,True
50,Cybertech Sys.,532173.0,CYBERTECH,Computers - Software - Medium / Small,128.65,16.24,355.06,0.78,12.36,146.22,30.25,4.96,17.82,20.82,11.26,3.56,20.87,0.11,14.6,8.0,,1.25,27.56,148.58,True
51,Cyient,532175.0,CYIENT,Computers - Software - Medium / Small,650.95,23.4,7158.58,2.3,95.4,-11.91,1044.3,-5.57,16.66,20.82,662.5,2.61,582.4,0.24,13.37,4.0,,1.25,55.0,4327.3,True
53,Datamatics Glob.,532528.0,DATAMATICS,Computers - Software - Medium / Small,110.7,10.42,652.57,0.0,22.16,69.68,303.06,-0.98,12.31,20.82,26.52,0.9,83.48,0.04,9.33,6.0,,1.25,29.48,966.85,True
56,Ducon Tech,534674.0,DUCON,Computers - Software - Medium / Small,6.45,,113.96,0.0,0.78,316.67,102.09,75.77,6.09,20.82,131.51,1.43,3.85,1.65,1.09,6.0,,1.25,10.47,283.6,True
57,Dynacons Sys.,532365.0,DSSL,Computers - Software - Medium / Small,64.6,7.81,59.26,0.77,2.73,75.0,153.83,66.68,22.67,20.82,42.15,1.52,4.02,1.08,18.29,6.0,,1.25,9.17,129.47,True
60,eClerx Services,532927.0,ECLERX,Computers - Software - Medium / Small,959.9,14.0,3349.05,0.1,71.04,1.66,394.33,5.03,18.83,20.82,157.06,2.54,332.8,0.12,13.76,5.0,,1.25,36.1,1680.12,True
62,Excel Realty,533090.0,EXCEL,Computers - Software - Medium / Small,2.85,,26.8,0.0,-0.07,-800.0,1.97,-42.9,-1.55,20.82,0.62,0.16,-82.99,0.0,-1.59,3.0,,1.25,94.05,174.45,True
63,Expleo Solutions,533121.0,EXPLEOSOL,Computers - Software - Medium / Small,504.15,9.67,516.88,0.0,12.61,21.72,72.11,5.75,37.9,20.82,0.0,2.89,16.7,0.0,27.41,6.0,,1.25,10.25,242.9,True
64,FCS Software,532666.0,FCSSOFT,Computers - Software - Medium / Small,0.8,,136.76,0.0,0.52,119.4,8.65,-13.15,-4.86,20.82,25.9,0.45,-5.24,0.08,-6.45,3.0,,1.25,170.96,343.89,True
66,Firstsour.Solu.,532809.0,FSL,Computers - Software - Medium / Small,101.0,17.28,7027.54,2.97,121.05,35.19,1365.24,29.59,13.7,20.82,1122.89,2.44,410.4,0.39,12.21,5.0,,1.25,695.55,4526.52,True
69,Genesys Intl.,506109.0,GENESYS,Computers - Software - Medium / Small,87.7,,273.85,0.0,3.32,210.28,23.19,-17.27,-1.71,20.82,9.75,1.42,29.69,0.05,0.88,4.0,,1.25,15.61,335.24,True
70,GI Engg.Sol.,533048.0,GISOLUTION,Computers - Software - Medium / Small,2.3,,1.98,0.0,-1.34,,0.02,-33.33,-0.54,20.82,1.0,0.34,-0.02,0.17,-0.58,5.0,,1.25,8.61,7.37,True
72,Goldstone Tech.,531439.0,GOLDTECH,Computers - Software - Medium / Small,15.65,45.22,29.39,0.0,0.26,174.29,13.24,23.16,0.85,20.82,3.44,0.66,-2.97,0.08,-0.29,4.0,,1.25,18.78,59.13,True
73,GSS Infotech,532951.0,GSS,Computers - Software - Medium / Small,54.15,,91.71,0.0,0.07,-95.88,27.81,-19.04,5.11,20.82,0.0,0.67,-1.75,0.0,4.5,4.0,,1.25,16.94,181.81,True
74,Happiest Minds,543227.0,HAPPSTMNDS,Computers - Software - Medium / Small,530.25,54.47,7787.44,0.0,42.15,97.15,192.84,12.44,42.75,20.82,80.47,16.79,112.22,0.17,83.02,7.0,,1.25,28.31,708.69,True
75,HCL Technologies,532281.0,HCLTECH,Computers - Software - Large,953.75,19.57,258815.81,1.05,3977.0,35.09,19302.0,6.44,27.4,27.9,5466.0,4.57,13359.0,0.1,23.66,4.0,,6.77,543.0,80131.0,True
77,Hinduja Global,532859.0,HGS,Computers - Software - Medium / Small,1155.15,9.3,2411.64,1.73,75.38,-9.74,1456.85,15.18,19.91,20.82,1257.04,1.27,883.75,0.66,12.75,5.0,,1.25,20.88,4224.55,True
78,HOV Services,532761.0,HOVS,Computers - Software - Medium / Small,40.5,53.67,50.99,0.0,0.26,236.84,2.55,-9.89,0.91,20.82,1.39,0.9,-2.61,0.02,0.28,5.0,,1.25,12.59,74.17,True
81,Infibeam Avenues,539807.0,INFIBEAM,Computers - Software - Medium / Small,99.8,110.16,6641.96,0.1,17.34,-33.44,227.81,46.6,4.38,20.82,26.47,2.32,22.39,0.01,3.57,5.0,,1.25,66.55,3394.28,True
82,InfoBeans Tech.,,INFOBEAN,Computers - Software - Medium / Small,151.75,12.81,364.44,0.66,14.38,86.27,44.18,-11.66,17.87,20.82,31.29,2.35,92.94,0.2,15.4,5.0,,1.25,24.02,230.48,True
84,Infosys,500209.0,INFY,Computers - Software - Large,1304.5,29.88,555702.39,1.34,5197.0,16.6,25927.0,12.28,32.58,27.9,5061.0,7.76,17003.0,0.07,25.24,6.0,,6.77,2123.0,101343.0,True
86,Inspirisys Sol.,532774.0,INSPIRISYS,Computers - Software - Medium / Small,36.95,,146.38,0.0,0.56,154.37,132.1,28.94,12.09,20.82,40.72,12.3,42.38,3.42,80.07,7.0,,1.25,39.62,297.58,True
88,Intellect Design,538835.0,INTELLECT,Computers - Software - Medium / Small,435.95,25.96,5793.02,0.0,80.37,806.24,382.19,19.63,3.14,20.82,75.73,4.84,43.57,0.06,1.17,4.0,,1.25,66.33,1833.86,True
89,Intense Tech.,532326.0,INTENTECH,Computers - Software - Medium / Small,35.7,4.41,80.05,0.56,1.29,0.0,13.74,9.74,40.24,20.82,2.17,1.22,5.26,0.03,34.49,6.0,,1.25,4.48,76.42,True
93,Intrasoft Tech.,533181.0,ISFT,Computers - Software - Medium / Small,66.65,14.72,98.18,1.5,3.94,222.95,122.33,-11.45,2.29,20.82,113.97,0.66,-12.79,0.76,0.16,4.0,,1.25,14.73,296.79,True
95,IZMO,532341.0,IZMO,Computers - Software - Medium / Small,57.65,3.03,76.05,0.0,8.29,34.8,28.58,16.65,6.13,20.82,6.03,0.34,40.7,0.03,5.43,6.0,,1.25,13.07,286.02,True
98,Kellton Tech,519602.0,KELLTONTEC,Computers - Software - Medium / Small,73.8,10.65,711.3,0.0,21.87,17.39,196.42,2.9,20.7,20.82,107.18,1.58,56.48,0.24,18.92,6.0,,1.25,48.19,702.0,True
99,KPIT Technologi.,542651.0,KPITTECH,Computers - Software - Medium / Small,141.7,30.21,3884.62,0.71,41.77,-9.61,517.25,-5.97,17.93,20.82,245.18,3.54,388.74,0.22,15.24,6.0,,1.25,268.99,1770.36,True
101,L & T Infotech,540005.0,LTI,Computers - Software - Large,3832.8,36.84,66957.68,0.73,518.7,37.48,3152.8,12.16,40.38,27.9,861.0,10.59,1643.5,0.14,29.52,4.0,,6.77,17.5,9392.0,True
102,L&T Technology,540115.0,LTTS,Computers - Software - Medium / Small,2729.8,42.57,28674.64,0.77,186.1,-8.82,1400.7,-1.56,42.59,20.82,529.5,9.26,638.1,0.17,31.26,5.0,,1.25,21.0,4523.2,True
105,Majesco,539289.0,MAJESCO,Computers - Software - Medium / Small,116.9,,334.68,833.19,0.0,,0.0,-100.0,15.12,20.82,0.0,0.11,119.45,0.0,8.79,6.0,,1.25,14.31,3855.54,True
106,Mastek,523704.0,MASTEK,Computers - Software - Medium / Small,1160.0,15.04,2910.74,0.69,57.42,96.24,442.85,81.73,17.29,20.82,252.36,2.98,184.47,0.26,16.05,4.0,,1.25,12.27,2097.82,True
107,Megasoft,532408.0,MEGASOFT,Computers - Software - Medium / Small,10.6,469.3,46.93,0.0,0.16,-85.96,15.11,-7.07,4.18,20.82,35.32,0.33,17.43,0.25,0.51,8.0,,1.25,44.27,330.44,True
110,Melstar Info.,532307.0,MELSTAR,Computers - Software - Medium / Small,1.8,,2.57,0.0,-0.21,27.59,0.53,-83.89,-176.7,20.82,2.97,,1.55,,,5.0,,1.25,14.28,11.29,True
112,Mindteck (India),517344.0,MINDTECK,Computers - Software - Medium / Small,44.8,32.61,114.79,0.0,1.45,212.4,72.72,5.65,-0.65,20.82,28.89,0.86,15.16,0.22,-3.57,6.0,,1.25,25.21,201.89,True
